solarradiation,humidity,month,hour,Clear,Overcast,Partially cloudy,Rain,"Rain, Overcast","Rain, Partially cloudy",holiday,Domingo,Quarta,Quinta,Segunda,Sexta,Sábado,Terça,Hídrica,Eólica,Solar,Biomassa,Ondas,Gás Natural - Ciclo Combinado,Gás natural - Cogeração,Carvão,Outra Térmica,Importação,Exportação,Bombagem,Injeção de Baterias,Consumo Baterias,Consumo,Total Consumption (Portugal),Portugal,Active Energy (MWh) - Porto
190.0,76.29,11,15,0,0,1,0,0,0,0,1,0,0,0,0,0,0,140.49110830738547,1634.9810116680105,316.92746982437956,231.34933591178597,0.0,1335.1326141313602,219.14419626264768,0.0,8.041988853675145,1156.1780540844275,0.0,960.7536633295894,0.0,0.0,20050.1,20050.1,104.0,4164.086094467652
49.0,87.19,11,16,0,0,1,0,0,0,0,1,0,0,0,0,0,0,595.2493315405862,1690.7875403798778,96.93033534997844,233.62383780979513,0.0,1395.5693788498886,225.03353153427847,0.0,8.143529116979124,64.68114772463468,24.91798061479647,131.96172618985122,0.0,0.0,20416.6,20416.6,101.56,4197.465893536118
10.0,93.84,11,17,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1691.8638671708998,1869.8233326374534,2.8634354251722107,241.09720118896797,0.0,1426.1126900517256,233.66445391511672,0.0,8.224761327622307,0.0,975.4770015086664,0.0,0.0,0.0,22121.8,22121.8,111.38,4415.407490480185
0.5,93.61,11,18,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2375.9609291024676,1988.6051326504485,0.0,247.3520814084931,0.0,1345.7740337256173,234.55800823219172,0.0,8.346609643587081,0.0,1400.808856436374,0.0,0.0,0.0,23610.6,23610.6,135.48,4615.993924795735
0.0,93.84,11,19,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2635.2947615808303,1961.9203514541623,0.0,245.11819561580555,0.0,1436.1042519608372,236.42634907698493,0.0,9.402628381948464,0.0,1553.6066446562018,0.02030805266079582,0.0,0.0,24453.8,24453.8,160.6,4793.840807340288
0.0,93.84,11,20,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2307.482175530264,1863.7512248918754,0.0,245.56497277434306,0.0,1428.062263107162,237.07620676213043,0.0,10.25556659370189,0.0,1209.4866923190166,0.0,0.0,0.0,24008.1,24008.1,170.23,4731.636296019564
0.0,93.79,11,21,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1335.7012396058626,1840.4375804372821,0.0,247.41300556647545,0.0,1453.812873881051,235.7155672338571,0.0,11.392817542706455,0.0,556.3187945898406,0.0,0.0,0.0,22471.6,22471.6,158.26,4451.534173165271
0.0,100.0,11,22,0,0,1,0,0,0,0,1,0,0,0,0,0,0,441.2736762664324,1689.9752182734458,0.0,258.54181842459155,0.0,1519.3672678701,235.75618333917868,0.0,13.626703335393994,166.0386385546666,0.0,80.35896437876906,0.0,0.0,20868.4,20868.4,150.8,4175.281206739463
0.0,93.75,11,23,0,0,1,0,0,0,0,1,0,0,0,0,0,0,767.6646986307428,1425.280059892633,0.0,267.8835226485577,0.0,1630.6553964512611,233.31921701988318,0.0,15.840281075420739,0.0,392.81866261777355,0.0,0.0,0.0,19411.7,19411.7,155.57,3858.388080954666
0.0,93.7,11,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,239.28978450215712,1120.334341138123,0.0,263.8219121163985,0.0,1595.6443136640492,230.92286680590925,0.0,15.048267021649702,251.6776966252426,0.0,203.994388977694,0.0,0.0,17264.6,17264.6,149.29,3337.190950178496
0.0,93.7,11,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,153.16333316772207,983.4174500990375,0.0,262.9486658519843,0.0,1660.6300821785958,232.141349965557,0.0,15.14980728495368,223.95720474325628,0.0,97.15372392924719,0.0,0.0,16876.4,16876.4,140.93,3268.043312115839
